Município1,Código Município IBGE,População estimada (2020),UF1,05/03/20,06/03/20,12/03/20,13/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20,02/05/20,03/05/20,04/05/20,05/05/20,06/05/20,07/05/20,08/05/20,09/05/20,10/05/20,11/05/20,12/05/20,13/05/20,14/05/20,15/05/20,16/05/20,17/05/20,18/05/20,19/05/20,20/05/20,21/05/20,22/05/20,23/05/20,24/05/20,25/05/20,26/05/20,27/05/20,28/05/20,29/05/20,30/05/20,31/05/20,01/06/20,02/06/20,03/06/20,04/06/20,05/06/20,06/06/20,07/06/20,08/06/20,09/06/20,10/06/20,11/06/20,12/06/20,13/06/20,14/06/20,15/06/20,16/06/20,17/06/20,18/06/20,19/06/20,20/06/20,21/06/20,22/06/20,23/06/20,24/06/20,25/06/20,26/06/20,27/06/20,28/06/20,29/06/20,30/06/20,01/07/20,02/07/20,03/07/20,04/07/20,05/07/20,06/07/20,07/07/20,08/07/20,09/07/20,10/07/20,11/07/20,12/07/20,13/07/20,14/07/20,15/07/20,16/07/20,17/07/20,18/07/20,19/07/20,20/07/20,21/07/20,22/07/20,23/07/20,24/07/20,25/07/20,26/07/20,27/07/20,28/07/20,29/07/20,30/07/20,31/07/20,01/08/20,02/08/20,03/08/20,04/08/20,05/08/20,06/08/20,07/08/20,08/08/20,09/08/20,10/08/20,11/08/20,12/08/20,13/08/20,14/08/20,15/08/20,16/08/20,17/08/20,18/08/20,19/08/20,20/08/20,21/08/20,22/08/20,23/08/20,24/08/20,25/08/20,26/08/20,27/08/20,28/08/20,29/08/20,30/08/20,31/08/20,01/09/20,02/09/20,03/09/20,04/09/20,05/09/20,06/09/20,07/09/20,08/09/20,09/09/20,10/09/20,11/09/20,12/09/20,13/09/20,14/09/20,15/09/20,16/09/20,17/09/20,18/09/20,19/09/20,20/09/20,21/09/20,22/09/20,23/09/20,24/09/20,25/09/20,26/09/20,27/09/20,28/09/20,29/09/20,30/09/20,01/10/20,02/10/20,03/10/20,04/10/20,05/10/20,06/10/20,07/10/20,08/10/20,09/10/20,10/10/20,11/10/20,12/10/20,13/10/20,14/10/20,15/10/20,16/10/20,17/10/20,18/10/20,19/10/20,20/10/20,21/10/20,22/10/20,23/10/20,24/10/20,25/10/20,26/10/20,27/10/20,28/10/20,29/10/20,30/10/20,31/10/20,01/11/20,02/11/20,03/11/20,04/11/20,05/11/20,06/11/20,07/11/20,08/11/20,09/11/20,10/11/20,11/11/20,12/11/20,13/11/20,14/11/20,15/11/20,16/11/20,17/11/20,18/11/20,19/11/20,20/11/20,21/11/20,22/11/20,23/11/20,24/11/20,25/11/20,26/11/20,27/11/20,28/11/20,29/11/20,30/11/20,01/12/20,02/12/20,03/12/20
BARUERI,3505708,276982,SP,28%,27%,25%,28%,34%,37%,38%,39%,53%,51%,47%,49%,50%,50%,50%,51%,56%,51%,50%,50%,49%,49%,53%,55%,47%,47%,46%,43%,53%,51%,55%,45%,45%,45%,44%,44%,48%,55%,46%,53%,43%,43%,43%,48%,55%,43%,44%,43%,42%,51%,49%,56%,44%,43%,42%,43%,41%,46%,51%,44%,44%,44%,44%,44%,46%,51%,44%,43%,43%,43%,43%,47%,52%,46%,39%,42%,42%,41%,48%,50%,41%,42%,41%,42%,41%,44%,49%,41%,41%,41%,44%,41%,44%,49%,42%,42%,41%,40%,40%,43%,48%,41%,40%,41%,39%,40%,44%,48%,40%,40%,40%,40%,40%,42%,47%,40%,40%,40%,40%,39%,41%,47%,39%,39%,39%,40%,39%,41%,46%,36%,35%,36%,35%,34%,37%,45%,38%,34%,35%,34%,34%,37%,45%,35%,34%,34%,34%,33%,35%,41%,33%,35%,35%,33%,33%,37%,45%,35%,35%,34%,35%,33%,36%,43%,34%,35%,34%,33%,33%,34%,41%,33%,34%,32%,32%,31%,34%,40%,40%,33%,34%,32%,32%,35%,42%,33%,34%,32%,33%,33%,34%,42%,34%,34%,34%,33%,33%,35%,39%,33%,33%,33%,33%,32%,33%,41%,31%,31%,32%,31%,32%,34%,39%,41%,32%,31%,33%,35%,35%,40%,33%,31%,31%,32%,31%,35%,40%,33%,33%,32%,31%,32%,40%,40%,42%,32%,32%,31%,31%,34%,42%,32%,32%,31%,31%,32%,36%,40%,34%,34%,32%,33%,34%,36%,42%,33%,33%,32%,33%,34%,36%,40%,33%,32%,32%,33%
BAURU,3506003,379297,SP,30%,28%,27%,28%,35%,36%,37%,38%,50%,52%,47%,47%,48%,48%,47%,51%,55%,50%,50%,49%,49%,48%,52%,53%,47%,45%,44%,41%,53%,48%,53%,44%,46%,44%,43%,42%,47%,55%,44%,53%,42%,42%,42%,47%,54%,42%,41%,42%,40%,50%,46%,53%,41%,41%,41%,39%,38%,42%,47%,41%,40%,41%,41%,39%,44%,50%,44%,42%,42%,43%,41%,46%,50%,45%,39%,43%,42%,41%,45%,48%,41%,42%,40%,41%,41%,47%,49%,41%,42%,41%,46%,41%,43%,48%,42%,42%,42%,41%,41%,43%,48%,42%,42%,42%,41%,41%,45%,48%,41%,42%,42%,41%,41%,43%,48%,41%,41%,41%,41%,40%,43%,47%,40%,41%,41%,41%,40%,42%,47%,37%,36%,38%,36%,36%,39%,47%,38%,38%,37%,37%,37%,40%,46%,37%,37%,36%,36%,35%,37%,42%,37%,37%,36%,36%,37%,39%,46%,38%,38%,36%,37%,37%,39%,45%,37%,37%,36%,37%,35%,37%,44%,36%,36%,36%,36%,35%,37%,41%,43%,36%,36%,36%,35%,37%,42%,36%,36%,36%,36%,36%,38%,43%,36%,37%,36%,36%,35%,36%,42%,36%,36%,36%,36%,36%,35%,42%,35%,34%,35%,36%,36%,37%,44%,46%,36%,37%,37%,38%,39%,45%,38%,37%,37%,37%,37%,39%,45%,38%,38%,37%,37%,37%,38%,44%,45%,37%,37%,36%,36%,39%,43%,37%,37%,37%,36%,36%,39%,43%,37%,37%,37%,36%,36%,39%,43%,37%,37%,37%,36%,36%,39%,42%,37%,36%,37%,37%
BEBEDOURO,3506102,77555,SP,48%,46%,41%,47%,51%,52%,54%,56%,68%,67%,62%,63%,63%,62%,62%,65%,69%,64%,64%,64%,62%,62%,67%,69%,60%,59%,57%,55%,71%,65%,71%,58%,59%,55%,56%,55%,63%,71%,58%,67%,55%,55%,56%,62%,70%,56%,55%,55%,54%,67%,60%,68%,55%,53%,53%,54%,53%,59%,65%,53%,53%,53%,54%,54%,47%,49%,51%,49%,48%,47%,51%,49%,51%,57%,46%,50%,51%,50%,50%,52%,49%,50%,48%,49%,49%,46%,52%,48%,47%,47%,49%,46%,49%,49%,50%,50%,45%,45%,47%,48%,51%,50%,50%,48%,47%,48%,47%,50%,48%,50%,49%,47%,47%,49%,50%,48%,48%,47%,48%,48%,46%,49%,47%,50%,48%,47%,47%,46%,51%,46%,52%,52%,46%,48%,50%,59%,49%,48%,47%,50%,44%,55%,58%,51%,51%,47%,46%,49%,51%,53%,49%,47%,48%,47%,49%,50%,59%,53%,51%,51%,53%,47%,51%,53%,47%,49%,50%,49%,50%,50%,54%,46%,52%,49%,45%,48%,49%,55%,56%,46%,48%,47%,43%,50%,52%,49%,48%,46%,49%,49%,48%,55%,47%,51%,49%,47%,47%,47%,54%,51%,53%,52%,47%,48%,47%,53%,47%,48%,46%,46%,49%,46%,52%,55%,46%,48%,50%,49%,52%,56%,48%,50%,52%,48%,47%,54%,55%,51%,49%,44%,51%,49%,55%,55%,54%,47%,46%,45%,47%,52%,58%,49%,48%,49%,51%,48%,50%,53%,50%,52%,51%,48%,48%,49%,55%,49%,49%,50%,49%,46%,52%,58%,47%,48%,51%,48%
BIRIGUI,3506508,124883,SP,40%,38%,37%,39%,43%,44%,45%,46%,53%,53%,52%,54%,54%,53%,52%,52%,56%,57%,56%,56%,55%,55%,56%,55%,53%,51%,50%,47%,59%,53%,57%,51%,52%,50%,47%,48%,52%,55%,50%,58%,49%,49%,49%,52%,57%,48%,49%,48%,47%,56%,51%,57%,47%,47%,48%,47%,45%,48%,51%,48%,47%,49%,48%,49%,45%,49%,44%,44%,44%,43%,41%,45%,49%,47%,41%,42%,43%,42%,43%,47%,42%,42%,42%,43%,41%,48%,47%,43%,42%,42%,45%,41%,42%,45%,42%,42%,42%,42%,41%,41%,46%,42%,39%,41%,41%,42%,42%,47%,42%,43%,42%,41%,42%,44%,48%,42%,40%,42%,42%,41%,43%,48%,42%,42%,41%,42%,41%,42%,46%,38%,40%,37%,40%,40%,41%,47%,41%,38%,39%,37%,37%,40%,47%,39%,40%,39%,39%,39%,39%,44%,39%,40%,39%,39%,41%,39%,47%,41%,40%,40%,40%,41%,40%,45%,39%,39%,39%,40%,39%,38%,43%,39%,39%,40%,38%,38%,37%,40%,43%,37%,39%,39%,38%,39%,43%,39%,40%,39%,40%,38%,38%,43%,40%,39%,39%,39%,39%,39%,43%,39%,39%,39%,39%,38%,37%,41%,38%,40%,38%,39%,39%,37%,41%,44%,38%,40%,38%,40%,39%,43%,38%,36%,39%,37%,39%,39%,42%,38%,40%,38%,39%,38%,38%,42%,44%,36%,38%,37%,39%,39%,41%,39%,39%,39%,38%,38%,38%,40%,38%,38%,38%,38%,38%,39%,42%,38%,40%,37%,38%,38%,38%,41%,39%,37%,39%,38%
BOTUCATU,3507506,148130,SP,35%,32%,31%,34%,39%,41%,43%,43%,53%,54%,52%,52%,52%,51%,51%,54%,56%,56%,56%,55%,54%,54%,57%,58%,51%,51%,50%,49%,58%,56%,60%,53%,60%,50%,49%,49%,54%,61%,51%,57%,47%,48%,50%,54%,60%,49%,50%,49%,48%,56%,54%,60%,49%,47%,46%,47%,45%,50%,54%,47%,46%,48%,45%,47%,44%,49%,43%,43%,41%,42%,41%,46%,51%,43%,40%,40%,42%,40%,42%,46%,40%,41%,40%,39%,39%,46%,48%,41%,41%,40%,44%,38%,41%,47%,41%,41%,40%,40%,39%,41%,44%,40%,40%,40%,39%,40%,44%,45%,41%,41%,41%,41%,39%,42%,47%,39%,39%,39%,40%,38%,41%,46%,39%,39%,40%,39%,38%,40%,45%,37%,36%,38%,37%,36%,39%,45%,38%,38%,38%,41%,40%,37%,45%,36%,34%,33%,35%,35%,37%,41%,36%,36%,36%,37%,38%,40%,48%,38%,41%,38%,38%,39%,41%,46%,39%,37%,38%,37%,37%,37%,44%,37%,38%,37%,37%,36%,37%,41%,44%,37%,37%,37%,35%,38%,43%,37%,37%,36%,37%,36%,38%,44%,38%,38%,38%,37%,37%,37%,42%,38%,37%,37%,37%,37%,36%,43%,37%,36%,36%,37%,36%,36%,43%,41%,36%,36%,37%,37%,38%,42%,37%,37%,36%,36%,37%,36%,42%,37%,37%,37%,36%,37%,38%,44%,43%,36%,37%,35%,35%,38%,42%,35%,37%,36%,35%,35%,37%,41%,35%,36%,36%,36%,36%,37%,41%,35%,36%,36%,36%,36%,37%,41%,35%,35%,36%,36%
BRAGANÇA PAULISTA,3507605,170533,SP,33%,31%,29%,31%,38%,39%,41%,41%,54%,55%,51%,50%,51%,50%,50%,53%,55%,52%,53%,52%,51%,51%,55%,55%,49%,48%,47%,46%,58%,52%,56%,48%,48%,48%,48%,47%,52%,58%,49%,55%,47%,47%,47%,51%,57%,47%,47%,46%,46%,54%,51%,58%,46%,44%,45%,45%,42%,46%,50%,44%,43%,45%,45%,44%,46%,50%,43%,43%,43%,43%,41%,46%,52%,47%,41%,42%,43%,42%,45%,49%,42%,42%,42%,41%,40%,48%,47%,40%,40%,39%,44%,39%,41%,47%,40%,40%,39%,39%,39%,41%,45%,39%,40%,39%,38%,38%,42%,46%,39%,39%,40%,39%,38%,40%,45%,38%,38%,38%,39%,37%,40%,45%,38%,38%,38%,39%,38%,41%,46%,37%,37%,36%,36%,36%,38%,45%,37%,37%,36%,37%,37%,39%,45%,36%,36%,36%,35%,35%,38%,43%,37%,37%,36%,36%,36%,39%,47%,38%,39%,38%,38%,36%,41%,45%,37%,38%,37%,37%,36%,38%,44%,37%,37%,37%,36%,34%,37%,40%,43%,36%,36%,35%,35%,36%,42%,36%,36%,36%,36%,35%,36%,42%,37%,38%,36%,36%,35%,36%,41%,36%,36%,35%,35%,35%,35%,43%,35%,36%,35%,35%,36%,35%,42%,43%,34%,35%,35%,36%,37%,43%,36%,36%,35%,35%,34%,37%,43%,36%,34%,34%,34%,34%,36%,42%,42%,34%,34%,33%,33%,35%,39%,34%,33%,34%,34%,34%,36%,40%,35%,35%,35%,34%,37%,36%,40%,35%,35%,35%,35%,37%,36%,40%,34%,34%,34%,35%
CAÇAPAVA,3508504,95018,SP,44%,42%,41%,43%,48%,49%,52%,52%,64%,62%,60%,61%,62%,60%,60%,62%,63%,64%,62%,59%,63%,62%,65%,65%,60%,57%,58%,57%,66%,63%,66%,59%,61%,57%,57%,57%,61%,66%,58%,64%,56%,56%,55%,59%,65%,56%,56%,56%,55%,62%,59%,65%,55%,55%,53%,55%,53%,57%,59%,55%,55%,55%,54%,54%,52%,57%,50%,50%,51%,51%,49%,53%,57%,52%,46%,49%,50%,48%,52%,56%,49%,49%,49%,49%,48%,51%,55%,50%,49%,48%,53%,48%,51%,54%,49%,49%,48%,47%,47%,50%,54%,49%,49%,49%,48%,46%,50%,55%,48%,47%,48%,48%,47%,50%,54%,48%,48%,47%,48%,47%,50%,54%,47%,48%,48%,48%,46%,49%,54%,45%,45%,44%,44%,42%,47%,50%,44%,44%,43%,44%,44%,47%,53%,44%,43%,43%,43%,42%,45%,50%,44%,44%,43%,41%,43%,44%,52%,44%,45%,43%,44%,43%,46%,51%,43%,43%,43%,43%,42%,43%,49%,43%,43%,44%,43%,41%,41%,47%,49%,42%,42%,42%,40%,44%,49%,40%,41%,41%,42%,41%,43%,49%,42%,43%,41%,42%,41%,43%,48%,43%,41%,38%,42%,42%,41%,50%,42%,41%,41%,41%,41%,41%,47%,50%,40%,41%,42%,43%,44%,49%,41%,41%,42%,43%,42%,44%,46%,41%,42%,42%,41%,40%,45%,48%,49%,42%,42%,40%,40%,43%,47%,42%,41%,42%,41%,41%,43%,48%,41%,43%,42%,41%,41%,43%,46%,42%,42%,41%,41%,41%,44%,45%,41%,39%,41%,42%
CAIEIRAS,3509007,102775,SP,34%,32%,31%,33%,40%,42%,43%,44%,58%,57%,52%,54%,53%,53%,54%,57%,58%,55%,56%,55%,55%,54%,60%,62%,52%,52%,50%,52%,65%,63%,67%,55%,55%,55%,55%,54%,59%,68%,58%,65%,53%,53%,54%,59%,66%,54%,54%,53%,52%,62%,59%,67%,53%,53%,52%,52%,49%,55%,61%,53%,52%,52%,52%,52%,48%,53%,45%,44%,46%,47%,45%,48%,54%,50%,44%,44%,45%,43%,48%,52%,44%,44%,44%,44%,42%,46%,50%,43%,44%,43%,46%,42%,45%,51%,43%,43%,43%,42%,41%,44%,50%,42%,43%,42%,41%,41%,45%,50%,42%,41%,41%,42%,41%,43%,49%,41%,41%,41%,42%,41%,43%,49%,41%,41%,41%,41%,40%,43%,48%,40%,39%,39%,39%,38%,42%,49%,41%,40%,40%,40%,40%,42%,49%,39%,38%,39%,38%,37%,40%,44%,33%,36%,38%,35%,34%,37%,49%,37%,37%,35%,37%,35%,39%,49%,39%,35%,38%,35%,36%,34%,41%,37%,36%,35%,36%,36%,37%,42%,43%,35%,35%,37%,37%,37%,45%,36%,35%,38%,35%,36%,38%,43%,37%,37%,39%,34%,37%,36%,43%,35%,34%,34%,35%,35%,37%,40%,36%,35%,37%,38%,37%,35%,45%,42%,35%,35%,34%,37%,35%,43%,36%,34%,36%,36%,33%,38%,43%,36%,36%,34%,36%,36%,42%,44%,45%,35%,36%,34%,33%,35%,43%,34%,37%,35%,33%,32%,38%,43%,34%,35%,37%,34%,36%,37%,43%,36%,37%,36%,35%,36%,38%,39%,35%,34%,34%,38%
CAJAMAR,3509205,77934,SP,41%,39%,38%,41%,45%,45%,47%,48%,61%,54%,55%,56%,56%,55%,56%,59%,66%,59%,58%,58%,58%,57%,62%,66%,57%,55%,54%,55%,67%,64%,70%,58%,58%,57%,56%,53%,60%,69%,58%,66%,55%,56%,55%,61%,69%,57%,56%,56%,54%,64%,61%,70%,56%,54%,54%,54%,50%,56%,64%,54%,53%,52%,53%,53%,48%,55%,45%,43%,44%,45%,44%,48%,57%,49%,44%,43%,44%,41%,48%,53%,44%,43%,43%,43%,41%,45%,49%,42%,42%,42%,46%,42%,45%,51%,42%,42%,42%,41%,41%,44%,52%,42%,41%,41%,40%,41%,44%,52%,42%,42%,41%,42%,41%,44%,51%,42%,40%,41%,42%,40%,43%,50%,41%,41%,40%,41%,40%,43%,50%,40%,39%,38%,38%,38%,41%,51%,41%,39%,39%,38%,38%,41%,51%,39%,38%,38%,38%,37%,37%,46%,38%,37%,36%,36%,37%,41%,50%,38%,38%,35%,39%,36%,40%,49%,38%,37%,37%,38%,34%,36%,48%,37%,36%,35%,36%,34%,36%,44%,45%,36%,36%,34%,35%,38%,46%,36%,37%,36%,35%,35%,36%,45%,35%,35%,35%,34%,35%,36%,44%,36%,36%,34%,36%,34%,36%,44%,35%,34%,34%,36%,34%,34%,43%,44%,34%,35%,35%,36%,37%,46%,36%,34%,35%,36%,34%,37%,46%,36%,35%,36%,35%,35%,42%,44%,46%,35%,36%,33%,35%,35%,44%,35%,35%,35%,34%,33%,35%,43%,35%,37%,35%,33%,35%,36%,44%,35%,36%,34%,33%,35%,35%,41%,33%,34%,34%,34%
CAMPINAS,3509502,1213792,SP,30%,29%,27%,30%,38%,40%,43%,44%,57%,57%,52%,54%,55%,54%,54%,57%,59%,55%,55%,54%,54%,53%,58%,59%,51%,50%,50%,46%,56%,54%,57%,48%,48%,48%,47%,46%,52%,58%,49%,56%,46%,46%,46%,52%,57%,46%,46%,45%,44%,54%,51%,57%,45%,45%,45%,44%,43%,49%,52%,45%,45%,44%,45%,43%,50%,54%,48%,47%,47%,47%,47%,50%,54%,48%,46%,49%,47%,46%,51%,54%,46%,47%,46%,47%,46%,49%,52%,46%,46%,46%,47%,45%,48%,52%,46%,46%,46%,44%,45%,48%,52%,46%,46%,46%,45%,45%,49%,52%,46%,46%,45%,45%,45%,47%,52%,45%,45%,45%,46%,45%,47%,51%,45%,45%,45%,45%,44%,47%,51%,41%,41%,41%,41%,40%,44%,51%,42%,41%,41%,41%,41%,43%,50%,40%,40%,40%,40%,39%,42%,47%,41%,41%,40%,36%,38%,41%,48%,38%,39%,38%,38%,38%,41%,46%,38%,38%,36%,38%,36%,38%,44%,36%,36%,37%,36%,35%,38%,43%,44%,36%,36%,36%,35%,38%,43%,36%,36%,36%,36%,35%,39%,44%,37%,37%,36%,37%,35%,39%,43%,36%,37%,36%,36%,35%,37%,44%,36%,36%,35%,36%,36%,38%,42%,44%,35%,36%,35%,39%,38%,43%,36%,35%,35%,35%,35%,38%,43%,36%,35%,34%,35%,35%,44%,42%,43%,35%,35%,34%,34%,38%,44%,35%,35%,35%,34%,34%,38%,41%,35%,35%,35%,34%,35%,38%,41%,35%,35%,34%,35%,35%,38%,40%,35%,34%,35%,35%
CAMPO LIMPO PAULISTA,3509601,85541,SP,37%,35%,34%,36%,41%,42%,44%,47%,59%,59%,54%,56%,55%,55%,54%,58%,61%,57%,59%,58%,58%,57%,61%,61%,53%,54%,52%,52%,64%,60%,64%,56%,55%,56%,55%,54%,59%,65%,55%,61%,52%,52%,52%,57%,64%,53%,54%,53%,51%,61%,57%,63%,52%,51%,51%,51%,49%,53%,57%,51%,51%,52%,52%,50%,46%,49%,43%,42%,43%,43%,44%,47%,51%,47%,42%,43%,43%,43%,48%,49%,43%,43%,43%,42%,42%,45%,46%,42%,41%,41%,43%,42%,45%,48%,43%,42%,40%,40%,41%,44%,47%,42%,41%,42%,41%,42%,44%,48%,41%,41%,42%,41%,41%,43%,47%,41%,41%,41%,38%,41%,43%,47%,41%,41%,40%,41%,40%,43%,47%,39%,38%,38%,38%,39%,42%,47%,40%,39%,38%,40%,37%,41%,46%,39%,38%,37%,38%,37%,40%,44%,42%,46%,44%,45%,45%,49%,54%,46%,47%,45%,46%,44%,49%,54%,46%,45%,45%,45%,45%,46%,52%,45%,46%,45%,44%,44%,46%,49%,51%,44%,45%,44%,44%,46%,51%,45%,45%,45%,45%,44%,46%,51%,45%,47%,45%,44%,44%,46%,50%,45%,44%,44%,44%,44%,45%,50%,43%,44%,43%,44%,44%,45%,50%,51%,43%,44%,43%,44%,47%,51%,44%,44%,44%,42%,43%,46%,50%,44%,30%,37%,37%,38%,41%,46%,46%,39%,40%,38%,38%,41%,44%,38%,39%,41%,42%,40%,43%,49%,42%,43%,42%,42%,45%,45%,49%,43%,43%,42%,43%,44%,44%,48%,43%,42%,43%,42%
CARAGUATATUBA,3510500,123389,SP,44%,40%,38%,41%,48%,49%,51%,52%,63%,65%,60%,62%,64%,63%,61%,63%,64%,64%,64%,64%,63%,62%,66%,65%,60%,59%,57%,56%,65%,64%,66%,57%,57%,58%,58%,57%,62%,67%,61%,62%,55%,57%,57%,60%,66%,56%,56%,56%,55%,63%,62%,65%,55%,55%,55%,56%,53%,58%,61%,55%,55%,55%,55%,58%,53%,57%,50%,51%,51%,52%,51%,54%,58%,53%,48%,50%,51%,50%,55%,56%,51%,48%,50%,50%,50%,53%,55%,50%,49%,49%,52%,49%,51%,54%,50%,50%,49%,48%,47%,50%,53%,48%,48%,48%,48%,48%,51%,54%,50%,47%,48%,48%,48%,50%,53%,48%,48%,48%,49%,48%,50%,52%,48%,49%,48%,49%,47%,50%,52%,46%,47%,46%,46%,46%,47%,51%,46%,46%,46%,48%,46%,48%,52%,45%,46%,45%,44%,44%,47%,49%,46%,46%,46%,42%,45%,44%,47%,43%,44%,42%,43%,45%,47%,50%,41%,43%,42%,42%,40%,41%,42%,42%,43%,43%,42%,40%,43%,43%,41%,38%,40%,40%,41%,38%,43%,39%,39%,41%,40%,41%,41%,44%,41%,43%,42%,41%,39%,40%,41%,39%,42%,40%,39%,41%,39%,43%,39%,38%,40%,37%,40%,41%,41%,39%,35%,39%,40%,42%,41%,43%,38%,40%,40%,39%,39%,42%,43%,39%,39%,38%,39%,39%,47%,45%,41%,38%,40%,40%,40%,39%,41%,37%,39%,40%,38%,38%,42%,39%,37%,40%,40%,39%,40%,40%,42%,38%,40%,39%,39%,38%,38%,39%,37%,38%,38%,39%
CARAPICUÍBA,3510609,403183,SP,31%,30%,28%,31%,37%,39%,42%,44%,55%,57%,52%,54%,54%,53%,53%,56%,60%,54%,51%,57%,57%,56%,60%,61%,53%,52%,52%,50%,62%,59%,64%,54%,53%,53%,53%,52%,53%,64%,54%,61%,51%,51%,51%,56%,63%,52%,52%,52%,51%,60%,56%,63%,51%,51%,50%,51%,49%,53%,58%,51%,52%,51%,52%,52%,47%,51%,47%,46%,46%,46%,46%,47%,51%,48%,45%,46%,46%,44%,50%,50%,44%,46%,45%,45%,44%,46%,50%,44%,44%,44%,46%,43%,45%,49%,45%,45%,44%,44%,43%,45%,49%,44%,44%,45%,43%,44%,46%,49%,44%,44%,43%,44%,43%,44%,48%,43%,43%,43%,44%,42%,43%,48%,43%,44%,43%,43%,42%,44%,47%,41%,42%,42%,41%,41%,42%,47%,42%,41%,42%,41%,41%,42%,46%,41%,40%,41%,40%,39%,40%,43%,39%,38%,38%,38%,38%,40%,45%,40%,42%,39%,39%,38%,41%,44%,39%,40%,38%,38%,37%,37%,42%,39%,39%,38%,38%,38%,38%,41%,43%,36%,38%,37%,37%,38%,42%,38%,38%,38%,39%,37%,37%,42%,39%,39%,39%,39%,37%,37%,41%,38%,37%,36%,37%,36%,37%,42%,37%,37%,38%,36%,38%,37%,42%,41%,37%,36%,37%,39%,38%,39%,38%,37%,38%,38%,36%,38%,42%,39%,38%,37%,37%,38%,48%,43%,43%,34%,38%,37%,36%,39%,45%,37%,37%,37%,37%,38%,40%,42%,38%,38%,38%,39%,38%,41%,42%,39%,39%,38%,38%,38%,40%,41%,37%,38%,38%,38%
CATANDUVA,3511102,122497,SP,33%,32%,29%,32%,37%,38%,39%,40%,50%,49%,45%,46%,47%,46%,46%,49%,52%,48%,48%,48%,47%,47%,50%,51%,45%,44%,42%,38%,51%,46%,50%,50%,42%,41%,40%,40%,46%,52%,43%,51%,40%,39%,39%,45%,52%,40%,40%,39%,38%,48%,44%,51%,39%,39%,39%,38%,37%,41%,45%,39%,38%,38%,39%,38%,44%,46%,42%,41%,42%,43%,40%,43%,49%,47%,36%,41%,41%,41%,44%,46%,41%,42%,40%,40%,40%,46%,48%,41%,41%,41%,44%,39%,42%,46%,41%,41%,40%,40%,40%,42%,47%,41%,41%,41%,39%,40%,42%,46%,40%,41%,41%,41%,40%,41%,47%,40%,37%,39%,40%,39%,41%,45%,39%,39%,40%,39%,39%,40%,45%,35%,36%,37%,36%,35%,38%,45%,38%,37%,37%,37%,36%,38%,44%,35%,37%,36%,36%,34%,37%,42%,37%,36%,36%,36%,37%,39%,44%,37%,37%,35%,37%,36%,39%,44%,37%,36%,37%,37%,36%,37%,44%,36%,37%,36%,36%,35%,37%,40%,43%,37%,37%,36%,34%,38%,42%,36%,37%,37%,37%,37%,38%,42%,36%,37%,37%,36%,36%,36%,41%,36%,36%,35%,35%,35%,36%,42%,35%,35%,35%,36%,36%,36%,40%,44%,34%,35%,35%,37%,36%,41%,36%,34%,35%,34%,35%,37%,41%,35%,35%,36%,35%,35%,38%,41%,42%,35%,36%,33%,34%,37%,41%,35%,36%,35%,33%,35%,38%,39%,35%,35%,34%,33%,35%,37%,41%,35%,35%,35%,34%,35%,39%,41%,35%,35%,35%,37%
COTIA,3513009,253608,SP,35%,34%,33%,36%,42%,44%,46%,47%,58%,60%,56%,57%,57%,58%,57%,60%,64%,57%,59%,58%,60%,57%,62%,62%,55%,54%,54%,51%,60%,58%,63%,52%,53%,53%,53%,51%,54%,63%,54%,60%,50%,52%,51%,56%,63%,51%,53%,52%,51%,60%,56%,63%,51%,51%,51%,52%,50%,53%,58%,51%,50%,50%,52%,52%,50%,55%,48%,46%,48%,50%,48%,51%,55%,50%,45%,47%,47%,45%,52%,54%,47%,47%,46%,46%,45%,46%,53%,46%,46%,46%,48%,44%,48%,53%,46%,46%,44%,43%,44%,46%,52%,45%,45%,45%,43%,44%,48%,53%,45%,45%,44%,44%,43%,46%,51%,43%,44%,43%,43%,43%,45%,50%,44%,44%,44%,44%,43%,45%,50%,41%,40%,40%,37%,38%,43%,49%,42%,41%,41%,39%,40%,42%,49%,41%,40%,40%,40%,38%,40%,45%,40%,39%,39%,40%,39%,43%,51%,41%,40%,40%,40%,39%,43%,49%,40%,41%,40%,39%,38%,40%,46%,40%,40%,40%,39%,38%,40%,44%,46%,40%,40%,40%,38%,39%,46%,38%,39%,39%,39%,38%,40%,46%,40%,40%,40%,39%,39%,40%,46%,39%,39%,39%,39%,39%,39%,46%,39%,37%,38%,39%,38%,39%,45%,46%,37%,38%,39%,40%,41%,47%,39%,37%,38%,38%,38%,42%,47%,40%,39%,38%,38%,39%,46%,46%,47%,37%,38%,37%,37%,40%,46%,38%,39%,37%,37%,37%,39%,44%,38%,39%,38%,37%,39%,40%,44%,38%,38%,38%,38%,38%,39%,43%,38%,37%,38%,38%
